,index,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,weighted_average_vote,total_votes,mean_vote,median_vote,votes_10,votes_9,votes_8,votes_7,votes_6,votes_5,votes_4,votes_3,votes_2,votes_1,allgenders_0age_avg_vote,allgenders_0age_votes,allgenders_18age_avg_vote,allgenders_18age_votes,allgenders_30age_avg_vote,allgenders_30age_votes,allgenders_45age_avg_vote,allgenders_45age_votes,males_allages_avg_vote,males_allages_votes,males_0age_avg_vote,males_0age_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_0age_avg_vote,females_0age_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes
0,11,tt0035423,Kate & Leopold,Kate & Leopold,2001,2002-04-05,"Comedy, Fantasy, Romance",118,USA,"English, French",James Mangold,"Steven Rogers, James Mangold",Konrad Pictures,"Meg Ryan, Hugh Jackman, Liev Schreiber, Breckin Meyer, Natasha Lyonne, Bradley Whitford, Paxton Whitehead, Spalding Gray, Josh Stamberg, Matthew Sussman, Charlotte Ayanna, Philip Bosco, Andrew Jack, Stan Tracy, Kristen Schaal",An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.,6.4,75298,$ 48000000,$ 47121859,$ 76019048,44.0,330.0,127.0,6.4,75298,6.6,7.0,5026,3953,10289,20281,19133,9398,3831,1686,861,840,6.3,15.0,6.6,14001.0,6.3,34645.0,6.4,10970.0,6.3,34237.0,4.4,5.0,6.5,5506.0,6.2,20307.0,6.3,7378.0,6.6,26707.0,7.3,9.0,6.7,8302.0,6.4,13963.0,6.7,3407.0,6.1,488.0,6.4,14442.0,6.3,37733.0
1,880,tt0118548,Absolute Power,Absolute Power,1997,1997-05-30,"Action, Crime, Drama",121,USA,"English, Spanish",Clint Eastwood,"David Baldacci, William Goldman",Castle Rock Entertainment,"Clint Eastwood, Gene Hackman, Ed Harris, Laura Linney, Scott Glenn, Dennis Haysbert, Judy Davis, E.G. Marshall, Melora Hardin, Kenneth Welsh, Penny Johnson Jerald, Richard Jenkins, Mark Margolis, Elaine Kagan, Alison Eastwood",Career thief Luther Whitney (Clint Eastwood) witnesses a horrific crime involving U.S. President Alan Richmond (Gene Hackman).,6.7,47307,$ 50000000,$ 50068310,$ 50068310,52.0,157.0,84.0,6.7,47307,6.8,7.0,1762,2437,7839,17190,11445,4017,1438,589,227,363,6.6,6.0,6.8,3029.0,6.6,19758.0,6.9,12926.0,6.7,33229.0,6.0,3.0,6.8,2687.0,6.6,18143.0,6.8,11358.0,6.9,3227.0,9.0,2.0,6.9,309.0,6.8,1387.0,7.1,1408.0,6.7,548.0,6.8,10520.0,6.7,22552.0
2,882,tt0118583,Alien Resurrection,Alien Resurrection,1997,1997-11-28,"Action, Horror, Sci-Fi",109,USA,English,Jean-Pierre Jeunet,"Dan O'Bannon, Ronald Shusett",Brandywine Productions,"Sigourney Weaver, Winona Ryder, Dominique Pinon, Ron Perlman, Gary Dourdan, Michael Wincott, Kim Flowers, Dan Hedaya, J.E. Freeman, Brad Dourif, Raymond Cruz, Leland Orser, Carolyn Campbell, Marlene Bush, David St. James","200 years after her death, Ellen Ripley is revived as a powerful human/alien hybrid clone. Along with a crew of space pirates, she must again battle the deadly aliens and stop them from reaching Earth.",6.2,215710,$ 75000000,$ 47795658,$ 161376068,63.0,698.0,246.0,6.2,215710,6.3,6.0,10396,8903,25870,54568,56880,29125,14427,7151,4048,4342,5.1,121.0,6.0,29795.0,6.3,100740.0,6.4,30565.0,6.2,150508.0,5.0,103.0,6.0,26031.0,6.3,90417.0,6.4,26950.0,6.5,16395.0,5.9,8.0,6.4,3378.0,6.6,9088.0,6.5,3140.0,6.4,753.0,6.0,35528.0,6.3,105860.0
3,883,tt0118607,Amistad,Amistad,1997,1998-02-27,"Drama, History",155,USA,"English, Mende, Spanish, Portuguese",Steven Spielberg,David Franzoni,DreamWorks,"Morgan Freeman, Nigel Hawthorne, Anthony Hopkins, Djimon Hounsou, Matthew McConaughey, David Paymer, Pete Postlethwaite, Stellan Skarsgård, Razaaq Adoti, Abu Bakaar Fofanah, Anna Paquin, Tomas Milian, Chiwetel Ejiofor, Derrick N. Ashong, Geno Silva","In 1839, the revolt of Mende captives aboard a Spanish owned ship causes a major controversy in the United States when the ship is captured off the coast of Long Island. The courts must decide whether the Mende are slaves or legally free.",7.3,67153,$ 36000000,$ 44229441,$ 44229441,63.0,236.0,85.0,7.3,67153,7.3,7.0,5834,7402,17950,20948,8547,3213,1346,669,428,816,7.2,9.0,7.4,6708.0,7.3,31984.0,7.2,12598.0,7.2,45698.0,7.1,8.0,7.4,5683.0,7.2,27798.0,7.1,10666.0,7.5,6864.0,8.0,1.0,7.5,958.0,7.4,3837.0,7.7,1778.0,6.8,530.0,7.4,15413.0,7.2,31349.0
4,884,tt0118615,Anaconda,Anaconda,1997,1997-05-09,"Action, Adventure, Horror",89,USA,English,Luis Llosa,"Hans Bauer, Jim Cash",Cinema Line Film Corporation,"Jennifer Lopez, Ice Cube, Jon Voight, Eric Stoltz, Jonathan Hyde, Owen Wilson, Kari Wuhrer, Vincent Castellanos, Danny Trejo, Frank Welker","A ""National Geographic"" film crew is taken hostage by an insane hunter, who forces them along on his quest to capture the world's largest - and deadliest - snake.",4.8,89422,$ 45000000,$ 65885767,$ 136885767,37.0,287.0,136.0,4.8,89422,4.8,5.0,2949,1183,3450,8591,15398,19187,15755,10527,6768,5614,4.5,29.0,5.0,15770.0,4.6,43739.0,4.7,10063.0,4.8,61203.0,4.3,25.0,5.0,12817.0,4.7,37585.0,4.7,8682.0,4.7,10233.0,9.0,3.0,4.9,2803.0,4.5,5727.0,4.8,1257.0,4.8,634.0,4.8,18113.0,4.7,43971.0
5,885,tt0118617,Anastasia,Anastasia,1997,1998-04-03,"Animation, Adventure, Drama",94,USA,"English, Russian, French","Don Bluth, Gary Goldman","Susan Gauthier, Bruce Graham",Twentieth Century Fox,"Meg Ryan, John Cusack, Kelsey Grammer, Christopher Lloyd, Hank Azaria, Bernadette Peters, Kirsten Dunst, Angela Lansbury, Rick Jones, Andrea Martin, Glenn Walker Harris Jr., Debra Mooney, Arthur Malet, Charity James, Liz Callaway","The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death.",7.1,104907,$ 50000000,$ 58406347,$ 139804348,61.0,202.0,66.0,7.1,104907,7.4,7.0,16537,10880,20595,27682,16921,7048,2647,1157,586,854,7.5,75.0,7.4,39504.0,6.9,35422.0,6.5,6107.0,6.7,42230.0,6.5,27.0,6.9,16304.0,6.5,19820.0,6.4,4361.0,7.7,41750.0,8.2,43.0,8.0,22653.0,7.4,15223.0,6.9,1664.0,6.5,482.0,7.1,21322.0,7.1,45924.0
6,887,tt0118655,Austin Powers: International Man of Mystery,Austin Powers: International Man of Mystery,1997,1997-09-05,"Adventure, Comedy",94,USA,English,Jay Roach,Mike Myers,Capella International,"Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers, Robert Wagner, Seth Green, Fabiana Udenio, Mindy Sterling, Paul Dillon, Charles Napier, Will Ferrell, Joann Richter, Anastasia Sakelaris, Afifi Alaouie, Monet Mazur","A 1960s secret agent is brought out of cryofreeze to oppose his greatest enemy in the 1990s, where his social attitudes are glaringly out of place.",7.0,210669,$ 16500000,$ 53883989,$ 67683989,51.0,431.0,118.0,7.0,210669,7.1,7.0,15788,18546,48633,68952,32009,12680,5404,3024,2198,3435,7.3,106.0,7.0,39727.0,7.0,95600.0,6.9,25310.0,7.0,142844.0,7.3,92.0,7.1,32996.0,7.1,82578.0,7.0,22005.0,6.6,22129.0,7.7,11.0,6.6,6294.0,6.5,12043.0,6.7,2974.0,6.7,752.0,7.2,54479.0,6.9,88944.0
7,888,tt0118665,Baby Geniuses,Baby Geniuses,1999,1999-03-12,"Comedy, Crime, Family",97,USA,English,Bob Clark,"Steven Paul, Francisca Matos",Crystal Sky Worldwide,"Kathleen Turner, Christopher Lloyd, Kim Cattrall, Peter MacNicol, Dom DeLuise, Ruby Dee, Kyle Howard, Kaye Ballard, Leo Fitzgerald, Myles Fitzgerald, Gerry Fitzgerald, Connor Leggett, Griffin Leggett, Megan Robbins, Gabrielle Robbins","Scientist hold talking, super-intelligent babies captive, but things take a turn for the worse when a mix-up occurs between a baby genius and its twin.",2.6,24222,$ 12000000,$ 27250736,$ 36450736,6.0,181.0,49.0,2.6,24222,3.8,2.0,3900,237,451,696,1033,1471,1690,2178,3362,9204,2.1,23.0,2.8,6034.0,2.5,8885.0,2.5,2285.0,2.3,13301.0,2.0,21.0,2.4,4221.0,2.2,6754.0,2.4,1810.0,3.7,4463.0,4.0,1.0,4.1,1749.0,3.5,2043.0,3.1,445.0,2.6,304.0,2.6,8434.0,2.5,6887.0
8,892,tt0118749,Boogie Nights,Boogie Nights,1997,1998-02-27,Drama,155,USA,English,Paul Thomas Anderson,Paul Thomas Anderson,New Line Cinema,"Luis Guzmán, Burt Reynolds, Julianne Moore, Rico Bueno, John C. Reilly, Nicole Ari Parker, Don Cheadle, Heather Graham, Mark Wahlberg, William H. Macy, Samson Barkhordarian, Nina Hartley, Brad Braeden, Joanna Gleason, Lawrence Hudd",The story of a young man's adventures in the California pornography industry of the late 1970s and early 1980s.,7.9,223974,$ 15000000,$ 26400640,$ 43101594,85.0,593.0,176.0,7.9,223974,7.9,8.0,34384,42048,70809,45994,17036,6417,2668,1655,1038,1925,8.5,76.0,8.1,39567.0,7.8,101599.0,7.7,31716.0,7.9,155570.0,8.6,66.0,8.1,34280.0,7.8,88649.0,7.7,26817.0,7.5,21896.0,8.1,9.0,7.6,4831.0,7.4,11803.0,7.6,4409.0,7.4,719.0,8.1,58708.0,7.7,95653.0
9,895,tt0118842,Chasing Amy,Chasing Amy,1997,1997-04-18,"Comedy, Drama, Romance",113,USA,English,Kevin Smith,Kevin Smith,Too Askew Prod. Inc.,"Ethan Suplee, Ben Affleck, Scott Mosier, Jason Lee, Casey Affleck, Dwight Ewell, Joey Lauren Adams, Guinevere Turner, Carmen Llywelyn, Brian O'Halloran, Matt Damon, Alexander Goebbel, Tony Torn, Rebecca Waxman, Paris Petrick","Holden and Banky are comic book artists. Everything's going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's a lesbian.",7.2,127066,$ 250000,$ 12021272,$ 12021272,71.0,503.0,157.0,7.2,127066,7.4,8.0,17505,17058,31751,31018,15486,6471,2889,1706,1112,2070,7.2,16.0,7.3,14754.0,7.2,63746.0,7.1,18472.0,7.3,83197.0,6.9,13.0,7.3,11948.0,7.3,53669.0,7.1,15313.0,6.9,15430.0,7.0,2.0,6.9,2655.0,6.8,9394.0,7.0,2901.0,6.7,594.0,7.4,41084.0,7.1,48544.0
10,897,tt0118880,Con Air,Con Air,1997,1997-06-06,"Action, Crime, Thriller",115,USA,"English, Spanish",Simon West,Scott Rosenberg,Touchstone Pictures,"Colm Meaney, Mykelti Williamson, Nick Chinlund, Renoly Santiago, John Malkovich, Ving Rhames, Dave Chappelle, Rachel Ticotin, Steve Eastin, Steve Buscemi, Danny Trejo, M.C. Gainey, Landry Allbright, John Cusack, Monica Potter",Newly paroled ex-con and former U.S. Ranger Cameron Poe finds himself trapped in a prisoner transport plane when the passengers seize control.,6.9,261951,$ 75000000,$ 101117573,$ 224012234,52.0,381.0,140.0,6.9,261951,6.9,7.0,16546,17941,51250,85798,51789,20756,8447,4191,2458,2775,6.7,44.0,6.9,40216.0,6.9,132690.0,6.7,30780.0,6.9,186822.0,6.5,32.0,6.9,35648.0,6.9,117181.0,6.7,26085.0,6.9,23597.0,8.6,5.0,7.0,4128.0,6.9,14089.0,6.9,4244.0,6.8,757.0,6.8,49193.0,6.8,128156.0
11,898,tt0118883,Conspiracy Theory,Conspiracy Theory,1997,1997-08-29,"Action, Mystery, Thriller",135,USA,English,Richard Donner,Brian Helgeland,Warner Bros.,"Mel Gibson, Julia Roberts, Patrick Stewart, Cylk Cozart, Steve Kahan, Terry Alexander, Alex McArthur, Rod McLachlan, Michael Potts, Jim Sterling, Rich Hebert, Brian J. Williams, G.A. Aguilar, Cece Neber Labao, Saxon Trainor","A man obsessed with conspiracy theories becomes a target after one of his theories turns out to be true. Unfortunately, in order to save himself, he has to figure out which theory it is.",6.7,89016,$ 75000000,$ 75982834,$ 136982834,49.0,167.0,84.0,6.7,89016,6.8,7.0,4919,5408,15816,29343,19855,7815,2986,1310,706,858,7.3,9.0,6.8,6591.0,6.7,44600.0,6.7,16596.0,6.7,59400.0,7.2,8.0,6.8,5289.0,6.7,38078.0,6.7,13973.0,6.9,10137.0,9.0,1.0,6.9,1244.0,6.8,6049.0,6.9,2421.0,6.5,628.0,6.7,18892.0,6.7,42587.0
12,899,tt0118884,Contact,Contact,1997,1997-09-26,"Drama, Mystery, Sci-Fi",150,USA,"English, Spanish, German, Russian",Robert Zemeckis,"James V. Hart, Michael Goldenberg",Warner Bros.,"Jena Malone, David Morse, Jodie Foster, Geoffrey Blake, William Fichtner, Sami Chester, Timothy McNeil, Laura Elena Surillo, Matthew McConaughey, Tom Skerritt, Henry Strozier, Max Martini, Larry King, Thomas Garner, Conroy Chino","Dr. Ellie Arroway (Jodie Foster), after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.",7.4,239928,$ 90000000,$ 100920329,$ 171120329,62.0,672.0,170.0,7.4,239928,7.6,8.0,32875,36073,63185,58255,27455,10888,4764,2446,1586,2401,7.5,52.0,7.6,30659.0,7.4,112339.0,7.4,39137.0,7.4,161629.0,7.6,40.0,7.6,25557.0,7.4,96422.0,7.4,33304.0,7.3,25527.0,7.0,10.0,7.5,4727.0,7.3,14504.0,7.3,5205.0,6.9,773.0,7.3,48531.0,7.4,111014.0
13,900,tt0118928,Dante's Peak,Dante's Peak,1997,1997-03-28,"Action, Adventure, Thriller",108,USA,English,Roger Donaldson,Leslie Bohem,Universal Pictures,"Pierce Brosnan, Linda Hamilton, Jamie Renée Smith, Jeremy Foley, Elizabeth Hoffman, Charles Hallahan, Grant Heslov, Kirk Trutner, Arabella Field, Tzi Ma, Brian Reddy, Lee Garlington, Bill Bolender, Carole Androsky, Peter Jason","A vulcanologist arrives at a countryside town recently named the second most desirable place to live in America, and discovers that the long dormant volcano, Dante's Peak, may wake up at any moment.",5.9,75916,$ 116000000,$ 67127760,$ 178127760,43.0,301.0,100.0,5.9,75916,6.0,6.0,3108,2168,6552,15588,22330,14903,6273,2664,1244,1086,6.5,28.0,6.0,9184.0,5.8,36643.0,6.0,12603.0,5.9,51252.0,6.3,17.0,6.0,7292.0,5.8,31410.0,6.0,10674.0,6.2,8858.0,6.5,7.0,6.3,1794.0,6.1,4856.0,6.3,1766.0,5.8,579.0,6.0,15630.0,5.8,36441.0
14,902,tt0118954,Deconstructing Harry,Deconstructing Harry,1997,1998-04-17,Comedy,96,USA,"English, Hebrew",Woody Allen,Woody Allen,Sweetland Films,"Judy Davis, Julia Louis-Dreyfus, Stephanie Roth Haberle, Dan Frazer, Joel Leffert, Lynn Cohen, Richard Benjamin, Joe Buck, Jane Hoffman, Woody Allen, Tobey Maguire, Annette Arnold, Frederick Rolf, Elisabeth Kieselstein-Cord, Lortensia Hayes","Suffering from writer's block and eagerly awaiting his writing award, Harry Block remembers events from his past and scenes from his best-selling books as characters, real and fictional, come back to haunt him.",7.4,40354,$ 20000000,$ 10686841,$ 10686841,61.0,133.0,76.0,7.4,40354,7.4,8.0,4258,5572,11309,10819,4546,1792,728,444,309,577,7.9,6.0,7.6,4951.0,7.4,18595.0,7.2,7891.0,7.4,26838.0,7.1,5.0,7.6,3779.0,7.5,15571.0,7.2,6766.0,7.3,5027.0,10.0,1.0,7.4,1102.0,7.4,2764.0,7.2,1018.0,6.5,421.0,7.2,7713.0,7.5,21070.0
15,904,tt0118972,The Devil's Own,The Devil's Own,1997,1997-06-20,"Action, Crime, Drama",111,USA,English,Alan J. Pakula,"Kevin Jarre, David Aaron Cohen",Columbia Pictures,"Harrison Ford, Brad Pitt, Margaret Colin, Rubén Blades, Treat Williams, George Hearn, Mitchell Ryan, Natascha McElhone, Paul Ronan, Simon Jones, Julia Stiles, Ashley Carin, Kelly Singer, David O'Hara, David Wilmot","A police officer uncovers the real identity of his house-guest, an I.R.A. terrorist in hiding.",6.2,54899,$ 90000000,$ 42868348,$ 140807547,53.0,122.0,70.0,6.2,54899,6.2,6.0,1630,1453,5043,14282,17948,8632,3236,1253,642,780,7.3,8.0,6.3,4135.0,6.1,26515.0,6.2,10705.0,6.2,36395.0,6.9,6.0,6.4,3355.0,6.1,22641.0,6.1,9023.0,6.2,6118.0,5.5,2.0,6.3,726.0,6.1,3565.0,6.3,1544.0,5.8,513.0,6.1,10032.0,6.1,27423.0
16,905,tt0118998,Doctor Dolittle,Doctor Dolittle,1998,1998-07-31,"Comedy, Family, Fantasy",85,USA,English,Betty Thomas,"Hugh Lofting, Nat Mauldin",Twentieth Century Fox,"Eddie Murphy, Ossie Davis, Oliver Platt, Peter Boyle, Richard Schiff, Kristen Wilson, Jeffrey Tambor, Kyla Pratt, Raven-Symoné, Steven Gilborn, Erik Dellums, June Christopher, Cherie Franklin, Mark Adair-Rios, Don Calfa",A doctor discovers that he can communicate with animals.,5.4,87272,$ 71500000,$ 144156605,$ 294456605,46.0,101.0,78.0,5.4,87272,5.5,5.0,2703,1398,4253,11569,23009,23358,11053,5308,2686,1935,5.1,41.0,5.5,21973.0,5.2,37657.0,5.3,8293.0,5.3,55101.0,4.9,32.0,5.5,15719.0,5.2,30652.0,5.2,6835.0,5.5,14646.0,5.6,6.0,5.6,6016.0,5.4,6659.0,5.7,1364.0,5.2,592.0,5.3,18113.0,5.3,41827.0
17,906,tt0119008,Donnie Brasco,Donnie Brasco,1997,1997-05-02,"Biography, Crime, Drama",127,USA,"English, Italian, Japanese",Mike Newell,"Joseph D. Pistone, Richard Woodley",Mandalay Entertainment,"Al Pacino, Johnny Depp, Michael Madsen, Bruno Kirby, James Russo, Anne Heche, Zeljko Ivanek, Gerry Becker, Robert Miano, Brian Tarantina, Rocco Sisto, Zach Grenier, Walt MacPherson, Ronnie Farer, Terry Serpico","An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.",7.7,259214,$ 35000000,$ 41909762,$ 124909762,76.0,253.0,127.0,7.7,259214,7.8,8.0,24144,42770,101877,64395,17400,5044,1617,729,398,840,8.5,53.0,7.8,49942.0,7.7,126342.0,7.6,28834.0,7.8,188492.0,8.4,38.0,7.8,43692.0,7.8,112468.0,7.6,24794.0,7.6,22796.0,8.4,11.0,7.7,5733.0,7.6,12514.0,7.6,3604.0,7.5,723.0,7.7,42840.0,7.7,135033.0
18,909,tt0119094,Face/Off,Face/Off,1997,1997-11-07,"Action, Crime, Sci-Fi",138,USA,"English, Latin",John Woo,"Mike Werb, Michael Colleary",Permut Presentations,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola, Gina Gershon, Dominique Swain, Nick Cassavetes, Harve Presnell, Colm Feore, John Carroll Lynch, CCH Pounder, Robert Wisdom, Margaret Cho, James Denton, Matt Ross","In order to foil a terrorist plot, an FBI agent undergoes a facial transplant surgery and assumes the identity and physical appearance of a terrorist, but the plan turns from bad to worse when the same terrorist impersonates the FBI agent.",7.3,332195,$ 80000000,$ 112276146,$ 245676146,82.0,588.0,159.0,7.3,332195,7.3,7.0,29623,36965,90272,96162,43704,17579,7713,4070,2756,3351,7.3,85.0,7.3,57249.0,7.3,164480.0,6.9,35581.0,7.3,231883.0,7.2,67.0,7.4,49346.0,7.3,142955.0,6.9,30116.0,7.2,33560.0,8.0,12.0,7.2,7282.0,7.2,19805.0,7.1,4946.0,7.2,815.0,7.1,55262.0,7.3,167564.0
19,911,tt0119123,Fire Down Below,Fire Down Below,1997,1997-09-05,"Action, Drama, Thriller",105,USA,English,Félix Enríquez Alcalá,"Jeb Stuart, Jeb Stuart",Warner Bros.,"Steven Seagal, Marg Helgenberger, Stephen Lang, Brad Hunt, Kris Kristofferson, Harry Dean Stanton, Levon Helm, Mark Collie, Alex Harvey, Ed Bruce, Amelia Neighbors, Richard Masur, Michael Krawic, Clay Jeter, Yvonne Pollard","Going undercover in rural Kentucky, an environmental agent tries to prove the dumping of toxic waste in the local coal mines by ruthless industrialists.",5.1,15894,$ 60000000,$ 16228448,$ 16228448,40.0,111.0,46.0,5.1,15894,5.3,5.0,1049,367,881,1796,2733,3505,2494,1319,815,935,3.5,2.0,5.3,1237.0,5.0,7564.0,5.2,3511.0,5.1,11715.0,1.0,1.0,5.3,1116.0,5.0,7068.0,5.1,3160.0,5.3,890.0,6.0,1.0,5.3,110.0,5.0,432.0,5.5,322.0,4.7,356.0,5.1,3791.0,5.0,7543.0
20,912,tt0119137,Flubber,Flubber,1997,1998-04-03,"Comedy, Family, Sci-Fi",93,USA,English,Les Mayfield,"Samuel W. Taylor, John Hughes",Walt Disney Pictures,"Robin Williams, Marcia Gay Harden, Christopher McDonald, Ted Levine, Clancy Brown, Raymond J. Barry, Wil Wheaton, Edie McClurg, Jodi Benson, Leslie Stefanson, Malcolm Brownson, Benjamin Brock, Dakin Matthews, Zack Zeigler, Sam Lloyd","An absent-minded professor discovers ""flubber,"" a rubber-like super-bouncy substance.",5.3,79766,$ 80000000,$ 92977226,$ 177977226,37.0,72.0,57.0,5.3,79766,5.4,5.0,3017,1373,3903,10065,18622,19999,11561,6005,3030,2191,5.0,52.0,5.6,21600.0,5.0,33707.0,5.0,6292.0,5.2,50804.0,4.9,42.0,5.5,16080.0,5.0,27474.0,4.9,5169.0,5.5,12867.0,5.7,8.0,5.8,5234.0,5.2,5892.0,5.5,1039.0,5.1,544.0,5.2,15576.0,5.2,37670.0
21,913,tt0119141,Fools Rush In,Fools Rush In,1997,1997-02-14,"Comedy, Drama, Romance",109,USA,"English, Spanish",Andy Tennant,"Joan Taylor, Katherine Reback",Columbia Pictures,"Matthew Perry, Salma Hayek, Jon Tenney, Carlos Gómez, Tomas Milian, Siobhan Fallon Hogan, John Bennett Perry, Stanley DeSantis, Suzanne Snyder, Anne Betancourt, Jill Clayburgh, Angelina Torres, Debby Shively, Mark Adair-Rios, Annie Combs","After a one night stand with Alex, Isabel realizes that she is pregnant and they decide to get married. However, along with the marriage comes compromise of one's own cultural traditions.",6.0,30926,$ 20000000,$ 29481428,$ 29481428,37.0,137.0,40.0,6.0,30926,6.3,6.0,2489,1425,3341,6336,8137,5060,2222,959,496,461,8.0,4.0,6.2,3878.0,5.9,15098.0,6.1,5104.0,5.9,15891.0,7.3,3.0,6.1,1761.0,5.8,9805.0,6.1,3896.0,6.3,8732.0,10.0,1.0,6.3,2085.0,6.2,5141.0,6.4,1161.0,5.5,363.0,6.2,8937.0,5.9,12821.0
22,916,tt0119174,The Game,The Game,1997,1997-10-10,"Drama, Mystery, Thriller",129,USA,"English, Cantonese, German",David Fincher,"John Brancato, Michael Ferris",Polygram Filmed Entertainment,"Michael Douglas, Sean Penn, Deborah Kara Unger, James Rebhorn, Peter Donat, Carroll Baker, Anna Katarina, Armin Mueller-Stahl, Charles Martinet, Scott Hunter McGuire, Florentine Mocanu, Elizabeth Dennehy, Caroline Barclay, Daniel Schorr, John Aprea","After a wealthy banker is given an opportunity to participate in a mysterious game, his life is turned upside down when he becomes unable to distinguish between the game and reality.",7.8,321941,$ 50000000,$ 48323648,$ 109423648,61.0,599.0,184.0,7.8,321941,7.8,8.0,36225,57712,113635,73512,25059,8302,3275,1559,958,1704,8.0,121.0,7.8,67541.0,7.8,146985.0,7.6,34645.0,7.8,221764.0,8.0,97.0,7.8,56025.0,7.8,126689.0,7.6,29708.0,7.7,35497.0,7.7,16.0,7.7,10760.0,7.7,18651.0,7.5,4430.0,7.5,776.0,7.7,49220.0,7.8,164584.0
23,917,tt0119177,Gattaca,Gattaca,1997,1998-03-20,"Drama, Sci-Fi, Thriller",106,USA,"English, Esperanto",Andrew Niccol,Andrew Niccol,Columbia Pictures,"Ethan Hawke, Uma Thurman, Gore Vidal, Xander Berkeley, Jayne Brook, Elias Koteas, Maya Rudolph, Una Damon, Elizabeth Dennehy, Blair Underwood, Mason Gamble, Vincent Nielson, Chad Christ, William Lee Scott, Clarence Graham",A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,7.8,265849,$ 36000000,$ 12532777,$ 12532777,64.0,733.0,182.0,7.8,265849,7.9,8.0,35029,48481,90453,58770,20409,6791,2714,1271,773,1158,7.9,83.0,7.8,47707.0,7.8,126326.0,7.6,32753.0,7.8,175535.0,7.9,60.0,7.8,36132.0,7.8,104837.0,7.6,27680.0,7.8,36989.0,8.0,18.0,7.8,10952.0,7.8,19868.0,7.6,4506.0,7.3,745.0,7.8,49873.0,7.8,131089.0
24,918,tt0119190,George of the Jungle,George of the Jungle,1997,1997-12-19,"Action, Adventure, Comedy",92,USA,"English, Spanish",Sam Weisman,"Jay Ward, Dana Olsen",Walt Disney Pictures,"Brendan Fraser, Leslie Mann, Thomas Haden Church, Richard Roundtree, Greg Cruttwell, Abraham Benrubi, Holland Taylor, Kelly Miracco, John Bennett Perry, John Cleese, Michael Chinyamurindi, Abdoulaye NGom, Lydell M. Cheshier, Keith Scott, Spencer Garrett",A man raised in the jungle by apes falls in love with a wealthy American heiress.,5.4,66869,$ 55000000,$ 105263257,$ 174463257,53.0,111.0,57.0,5.4,66869,5.7,6.0,3890,1900,5008,10108,15055,14119,8133,4380,2363,1913,4.7,24.0,5.7,17414.0,5.3,28364.0,5.4,6963.0,5.3,41014.0,4.5,19.0,5.6,12026.0,5.2,22123.0,5.3,5499.0,5.8,13079.0,6.0,3.0,6.0,5180.0,5.6,5980.0,5.9,1372.0,5.3,525.0,5.4,14919.0,5.4,31632.0
25,919,tt0119215,Good Burger,Good Burger,1997,1998-02-13,"Comedy, Family",95,USA,English,Brian Robbins,"Dan Schneider, Kevin Kopelow",Paramount Pictures,"Kel Mitchell, Kenan Thompson, Sinbad, Abe Vigoda, Shar Jackson, Dan Schneider, Jan Schweiterman, Ron Lester, Josh Server, Ginny Schreiber, Linda Cardellini, Shaquille O'Neal, George Clinton, Richard Haje, Robert Wuhl","Two dim-witted teenagers are forced to save the fast food restaurant they work at from going out of business, despite a new-and-improved burger joint opening across the street that want to be the ""Top Dog"" in the fast food industry.",5.7,24443,$ 9000000,$ 23712993,$ 23712993,41.0,92.0,33.0,5.7,24443,6.2,6.0,4629,963,2072,3324,4059,3438,2059,1369,1020,1510,6.5,23.0,6.1,6835.0,5.3,10680.0,5.1,1571.0,5.6,16081.0,6.0,20.0,6.1,5285.0,5.3,8915.0,5.0,1252.0,6.1,3633.0,9.5,2.0,6.4,1489.0,5.8,1687.0,5.5,290.0,4.9,256.0,5.8,11227.0,5.2,5830.0
